CONTROL,WEIGHT,TENURE,INCOME,RENT,MORT_AMT,HOME_VAL,MOVE_YEAR,DIVISION,METRO,TOTROOMS,PERPOVLVL,SOURCE,SURVEY_YEAR,IS_OWNER,IS_RENTER,EDU_TIER,YEARS_US,DIV_MEDIAN_RENT,Rp,LATE_PAYMENT_FLAG,EVICTION_THREAT,HOUSING_DISTRESS,E_norm,T_norm,HC_WCI
11040850,3064.4577785,1,191000.0,,1977.0,760430.0,2022.0,3,16980,7,501.0,AHS_2023,2023,1,0,3.0,1.0,800.0,,,,,0.5,0.03333333333333333,
11040851,5330.9061479,1,43000.0,,,187184.0,1999.0,3,99998,6,238.0,AHS_2023,2023,1,0,5.0,24.0,800.0,,,,,1.0,0.8,
11040852,2700.6527401,,,,,293317.0,,4,99999,4,,AHS_2023,2023,0,0,,,690.0,,,,,,,
11040854,4434.4541062,1,198030.0,,1105.0,439726.0,2020.0,4,99998,8,501.0,AHS_2023,2023,1,0,5.0,3.0,690.0,,,,,1.0,0.1,
11040855,5494.0953213,2,51000.0,1400.0,,,2023.0,5,99999,5,218.0,AHS_2023,2023,0,1,2.0,0.0,1200.0,1.1666666666666667,0.0,0.0,0.0,0.25,0.0,0.47222222222222227
11040856,5788.2110293,2,80000.0,1400.0,,,2021.0,5,99999,4,400.0,AHS_2023,2023,0,1,5.0,2.0,1200.0,1.1666666666666667,,,,1.0,0.06666666666666667,0.7444444444444446
11040857,587.20999564,2,150000.0,2000.0,,,2023.0,3,16980,5,495.0,AHS_2023,2023,0,1,4.0,0.0,800.0,2.5,,,,0.75,0.0,1.0833333333333333
11040860,465.86722626,2,910.0,400.0,,,2022.0,3,16980,8,4.0,AHS_2023,2023,0,1,4.0,1.0,800.0,0.5,,,,0.75,0.03333333333333333,0.4277777777777778
11040862,2383.1648474,1,150000.0,,248.0,131493.0,2016.0,3,16980,5,501.0,AHS_2023,2023,1,0,5.0,7.0,800.0,,,,,1.0,0.23333333333333334,
11040864,3143.3426768,1,53100.0,,,229035.0,2018.0,3,16980,5,145.0,AHS_2023,2023,1,0,5.0,5.0,800.0,,,,,1.0,0.16666666666666666,
